"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","Olefins (wt%)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Mixed Sweet Blend","MSW","2016-12-04","MSW-727","Edmonton","817.5","41.4","0.42","1.8","3.7","8.3","","0.47","4.68","3.93","5.2","8.42","4.5","3.85","","0.23","0.77","0.2","1.11","0.29","3.34","3.02","4.22","7.08","3.89","3.4","-","0.25","0.82","0.21","1.18","36.1","68.7","119.4","158.6","213.5","267.9","323.6","385.4","452.3","545.3","620.6","",""
"Mixed Sweet Blend","MSW","2016-11-03","MSW-973","Edmonton","814.8","42","0.49","1.8","6","13","","0.52","4.82","4.25","5.51","9.13","4.76","3.61","","0.27","0.92","0.2","1.22","0.31","3.45","3.28","4.48","7.7","4.12","3.19","-","0.29","0.98","0.21","1.3","27.8","68.7","110.6","150.8","205.1","261.6","317.5","379.9","448.1","539.9","607.1","690.5",""
"Mixed Sweet Blend","MSW","2016-10-02","MSW-782","Edmonton","812.8","42.4","0.39","1.5","4","8","","0.29","4.22","5.47","6.1","9.78","5.73","4.3","","0.28","0.95","0.19","1.22","0.18","3.03","4.23","4.98","8.27","4.98","3.81","-","0.3","1.02","0.2","1.3","27.8","68.7","100.9","147.1","205.3","262.1","317.8","375.1","435.8","535.5","599.4","676.1",""
"Mixed Sweet Blend","MSW","2016-09-23","MSW-706","Edmonton","816.9","41.6","0.36","1.4","","","","0.42","4.28","4.24","5.54","9.61","5.85","4.41","","0.27","0.96","0.21","1.26","0.26","3.05","3.26","4.5","8.08","5.06","3.89","-","0.29","1.02","0.22","1.34","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2016-09-06","MSW-749","Edmonton","818.7","41.2","0.43","1.8","5","11","","0.44","4.11","4.4","6.55","7.15","6.37","3.35","","0.27","0.94","0.2","1.19","0.27","2.93","3.38","5.31","6.01","5.5","2.95","-","0.29","1","0.21","1.26","36.1","68.7","114.8","155","204.9","263.5","320","382.2","447.3","537.8","601.9","681.1",""
"Mixed Sweet Blend","MSW","2016-08-03","MSW-935","Edmonton","822.4","40.4","0.45","1.9","","","","0.19","3.92","4.18","6.93","9.52","6.81","3.45","","0.32","1.25","0.21","1.46","0.12","2.78","3.19","5.59","7.96","5.85","3.03","-","0.34","1.32","0.22","1.54","36.1","71.8","110.6","150.8","206.5","269.7","331.6","400.6","472","569.8","645.5","",""
"Mixed Sweet Blend","MSW","2016-07-10","MSW-616","Edmonton","812.6","42.5","0.39","1.6","","","","0.53","5.01","5.5","8.06","9.58","7.53","3.88","","0.33","1.15","0.22","1.5","0.32","3.6","4.25","6.58","8.11","6.55","3.45","-","0.36","1.23","0.24","1.6","27.8","63.3","98.4","131.8","172.3","231.1","292.3","352.4","419.7","510.7","578.7","658",""
"Mixed Sweet Blend","MSW","2016-07-03","MSW-798","Edmonton","813.3","42.3","0.41","1.6","5","10","","0.39","4.42","5.06","7.38","9.25","6.65","3.28","","0.32","1.13","0.21","1.37","0.24","3.17","3.91","6.02","7.82","5.78","2.91","-","0.35","1.21","0.22","1.46","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2016-06-07","MSW-633","Edmonton","817.5","41.4","0.41","1.7","5","11","","0.49","4.16","5.48","7.55","9.17","6.87","3.59","","0.31","1.03","0.23","1.32","0.3","2.97","4.21","6.13","7.71","5.94","3.17","-","0.34","1.1","0.25","1.4","27.8","68.7","100.9","142.3","189.4","248.9","307.2","369.4","436.2","530","594.8","670.3",""
"Mixed Sweet Blend","MSW","2016-05-18","MSW-758","Edmonton","820.1","40.9","0.46","1.9","","","","0.42","4.74","4.67","6.6","8.42","6.28","3.33","","0.26","0.92","0.2","1.18","0.26","3.37","3.58","5.34","7.06","5.41","2.93","-","0.28","0.98","0.21","1.25","27.8","68.7","110.6","151.5","208.2","265.5","322.9","386.6","456.5","553.4","624.7","",""
"Mixed Sweet Blend","MSW","2016-05-01","MSW-990","Edmonton","817.6","41.4","0.45","1.6","5","11","","0.34","4.44","3.8","6.22","7.9","6.33","3.46","","0.23","0.8","0.19","1.15","0.21","3.17","2.92","5.05","6.64","5.47","3.05","-","0.25","0.85","0.2","1.22","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2016-04-02","MSW-894","Edmonton","823.3","40.2","0.43","2","5","11","","0.31","4.39","4.11","5.8","7.35","5.31","2.81","","0.23","0.85","0.16","1.03","0.19","3.11","3.14","4.67","6.14","4.56","2.46","-","0.25","0.9","0.17","1.09","36.1","71.8","124.1","173","233.5","293.5","351.8","415.5","488","595.8","691.7","",""
"Mixed Sweet Blend","MSW","2016-03-28","MSW-692","Edmonton","819.8","41","0.41","1.7","5","10","","0.47","5.1","4.27","6.49","8.17","6.29","3.39","","0.25","0.88","0.2","1.17","0.29","3.63","3.27","5.25","6.85","5.42","2.98","-","0.27","0.93","0.21","1.24","","","","","","","","","","","","",""
