"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Peace","MPR","2017-08-01","MPR-593","Edmonton","802.8","44.6","0.34","0.9","1.6","3.8","0.6","4.57","4.19","6.76","8.19","8.38","6.84","3.6","0.22","0.8","0.22","1.14","0.37","3.32","3.28","5.58","7.01","7.37","6.14","3.29","0.24","0.87","0.24","1.23","35.3","58.6","110.1","152","194.2","245.2","300.5","358.7","427.8","520","594.5","707.1",""
"Peace","MPR","2017-06-01","MPR-534","Edmonton","807.8","43.5","0.46","1","2.5","7.6","0.54","3.74","4.94","7.43","8.3","8.21","6.05","3.11","0.31","0.98","0.23","1.35","0.33","2.7","3.84","6.1","7.06","7.17","5.4","2.82","0.34","1.06","0.25","1.45","","","","","","","","","","","","",""
"Peace","MPR","2017-04-02","MPR-503","Edmonton","810.9","42.9","0.44","1.2","2.3","5.9","0.37","3.52","3.73","6.31","7.3","7.34","5.74","3.11","0.28","0.86","0.23","1.18","0.23","2.53","2.89","5.16","6.19","6.39","5.1","2.81","0.31","0.92","0.25","1.26","46.1","79.7","128.2","170.9","216.6","274","332.3","398.7","476.4","600.3","","",""
"Peace","MPR","2017-02-02","MPR-450","Edmonton","812.2","42.6","0.43","1.2","2.2","5.5","0.53","3.83","3.9","6.45","7.38","7.49","6.36","3.21","0.28","0.86","0.24","1.17","0.32","2.75","3.02","5.27","6.25","6.51","5.65","2.9","0.3","0.92","0.26","1.25","","","","","","","","","","","","",""
"Peace","MPR","2016-10-01","MPR-095","Edmonton","804.8","44.2","0.37","1","4","10","0.53","5.08","4.89","7.17","8.37","8.43","6.58","3.04","0.29","0.91","0.22","1.29","0.32","3.68","3.82","5.91","7.15","7.4","5.9","2.77","0.32","0.99","0.24","1.39","37.9","81.1","116","158.5","202.3","255.9","312.8","375.3","447.7","549.6","635.7","",""
"Peace","MPR","2016-08-02","MPR-036","Edmonton","804.6","44.3","0.26","0.8","2","4","0.57","3.99","4.32","7.18","8.54","8.76","6.7","3.04","0.29","0.93","0.24","1.4","0.35","2.89","3.38","5.92","7.3","7.69","6.01","2.77","0.32","1.01","0.26","1.51","","","","","","","","","","","","",""
"Peace","MPR","2016-06-03","MPR-971","Edmonton","810.1","43.1","0.4","1.2","3","8","0.59","4.24","4.46","6.73","7.14","8.5","5.93","2.92","0.16","0.29","0.09","1.09","0.36","3.05","3.46","5.51","6.06","7.41","5.28","2.64","0.17","0.31","0.1","1.17","43","76.8","120.6","166.5","221","275.4","329.8","393.4","464.9","574.3","679.8","",""
"Peace","MPR","2016-04-01","MPR-903","Edmonton","804.8","44.2","0.37","1","2","7","0.46","4.46","4.09","6.72","7.95","8.25","7.14","3.36","0.24","0.75","0.21","1.17","0.29","3.23","3.2","5.54","6.79","7.25","6.4","3.06","0.26","0.81","0.23","1.26","","","","","","","","","","","","",""
"Peace","MPR","2016-02-03","MPR-842","Edmonton","810.4","43","0.47","1.3","3","9","0.59","4.89","3.74","6.44","7.41","7.62","6.18","2.63","0.27","0.77","0.22","1.09","0.36","3.52","2.9","5.27","6.29","6.64","5.5","2.38","0.29","0.83","0.24","1.17","55","91.8","136.2","185.8","238","293.3","347.1","408.8","479.3","589.4","705","",""
"Peace","MPR","2015-12-01","MPR-773","Edmonton","807.9","43.5","0.43","1.2","4","8","0.64","3.42","4.77","7.29","8.5","8.52","6.19","3.18","0.3","0.98","0.23","1.41","0.39","2.47","3.71","5.98","7.23","7.45","5.52","2.89","0.33","1.06","0.25","1.51","57.7","84.4","126.3","167.6","217.5","270","323.2","383.7","453.2","554.6","645.4","",""
"Peace","MPR","2015-10-01","MPR-695","Edmonton","811","42.8","0.42","1.2","3","7","0.58","4.5","3.92","6.3","7.54","7.85","6.71","2.97","0.23","0.73","0.2","0.93","0.35","3.23","3.04","5.15","6.39","6.83","5.97","2.68","0.25","0.78","0.21","0.99","39.8","80.5","128","171.4","220.2","273.4","328.2","389.4","458.3","560.5","649.1","",""
"Peace","MPR","2015-08-01","MPR-520","Edmonton","804.8","44.2","0.46","1.3","3","8","0.5","4.52","4.58","7.32","8.63","8.69","6.48","3.34","0.29","1.02","0.22","1.43","0.31","3.27","3.57","6.03","7.37","7.62","5.8","3.04","0.32","1.1","0.24","1.54","","","","","","","","","","","","",""
"Peace","MPR","2015-06-01","MPR-416","Edmonton","799.7","45.3","0.35","1","2","5","0.53","4.14","4.93","7.45","8.64","8.64","7.13","4.07","0.32","1.03","0.25","1.47","0.33","3.02","3.88","6.18","7.43","7.64","6.43","3.73","0.35","1.12","0.27","1.59","43.8","76.6","115.6","159.6","195.6","250.8","312.7","382.1","465.4","600.8","","",""
"Peace","MPR","2015-04-01","MPR-338","Edmonton","810.9","42.9","0.32","1.1","1","4","0.53","3.75","3.7","6.55","7.79","7.94","6.28","2.97","0.28","0.87","0.23","1.22","0.32","2.69","2.87","5.36","6.6","6.91","5.58","2.68","0.31","0.93","0.25","1.3","","","","","","","","","","","","",""
"Peace","MPR","2015-02-02","MPR-267","Edmonton","805.7","44","0.28","1.1","2","4","0.62","5.07","4.17","6.97","8.17","7.87","6.5","3.08","0.3","0.9","0.23","1.3","0.38","3.67","3.25","5.74","6.97","6.9","5.82","2.8","0.33","0.97","0.25","1.4","44.1","82.1","123.9","164.4","212.8","264.2","318","379.5","448.5","541.8","619.1","",""
"Peace","MPR","2011-11-01","MPR-920","Edmonton","825.3","39.8","0.36","1.5","2","4","0.33","2.52","3.01","5.83","7.44","7.76","6.25","3.12","0.32","0.9","0.26","1.21","0.2","1.78","2.29","4.69","6.2","6.64","5.46","2.77","0.34","0.95","0.27","1.27","66.9","96","139.3","183","233.2","284.8","336.3","395.8","461.2","555.1","635.3","",""
"Peace","MPR","2011-09-03","MPR-848","Edmonton","821.2","40.6","0.35","1.9","4","7","0.39","3.61","2.96","5.56","7.32","7.88","6.72","3.21","0.27","0.78","0.25","1.16","0.24","2.57","2.27","4.5","6.13","6.79","5.91","2.87","0.29","0.83","0.27","1.23","67.5","92.6","136.2","178.4","228.4","280.8","334.3","396.3","465.2","566.6","653.1","",""
"Peace","MPR","2011-07-02","MPR-845","Edmonton","825.2","39.8","0.38","2","5","7","0.55","3.57","3.07","5.53","7.05","7.37","6.1","2.59","0.26","0.72","0.25","1.1","0.33","2.53","2.34","4.45","5.88","6.32","5.34","2.3","0.28","0.76","0.26","1.16","","","","","","","","","","","","",""
"Peace","MPR","2011-06-02","MPR-810","Edmonton","817.4","41.4","0.47","2","7","9","0.55","3.92","3.4","6.07","7.42","7.38","5.7","2.67","0.31","0.86","0.23","1.11","0.33","2.8","2.62","4.93","6.25","6.39","5.04","2.4","0.34","0.92","0.25","1.18","39.9","80.7","115.8","163.2","212.5","265.4","319.1","380.4","447.2","534.9","603.7","692",""
