"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Bow River North","BRN","2018-01-10","BRN-186","Hardisty","927.9","20.9","3.01","10.6","328.9","0.96","9.2","46.7","110","0.13","1.48","5.3","4.25","3.05","2.54","1.75","0.92","0.13","0.26","0.07","0.31","0.07","0.93","3.59","3.04","2.26","1.93","1.36","0.73","0.12","0.24","0.07","0.29","41.5","92.2","257","347.8","419.6","483.4","550.5","624.8","712.4","","","",""
"Bow River North","BRN","2017-11-02","BRN-086","Hardisty","928.3","20.8","2.88","11.1","","0.92","","44.1","99.2","0.19","2.4","5.37","4.1","3.02","2.72","2.12","1.05","0.08","0.15","0.06","0.19","0.1","1.51","3.63","2.93","2.24","2.07","1.65","0.83","0.08","0.14","0.06","0.18","","","","","","","","","","","","",""
"Bow River North","BRN","2017-10-02","BRN-074","Hardisty","929.2","20.7","3.06","10.9","408.5","0.94","14.2","48.2","106","0.15","2.36","4.75","3.98","3.11","2.96","2.16","1.11","0.08","0.17","0.07","0.28","0.08","1.48","3.21","2.84","2.3","2.25","1.68","0.88","0.08","0.16","0.07","0.26","63.7","126.6","255.8","348.1","421.3","480.5","541.6","610.4","694.1","","","",""
"Bow River North","BRN","2017-09-05","BRN-104","Hardisty","930.5","20.4","3","11.5","","1.05","","50.2","106","0.17","2.66","5.29","4.24","3.11","2.73","2","1.05","0.09","0.18","0.07","0.25","0.09","1.67","3.57","3.02","2.3","2.07","1.55","0.83","0.09","0.17","0.07","0.23","","","","","","","","","","","","",""
"Bow River North","BRN","2017-08-05","BRN-062","Hardisty","931","20.4","2.93","9.1","","0.95","","55.1","139","0.14","2.15","3.75","3.19","2.52","2.52","2.03","1.12","0.06","0.15","0.07","0.24","0.07","1.35","2.53","2.27","1.86","1.91","1.57","0.88","0.06","0.14","0.07","0.22","","","","","","","","","","","","",""
"Bow River North","BRN","2017-07-14","BRN-092","Hardisty","929.3","20.6","3","10.7","375.6","0.99","12","46.8","104","0.11","2.37","4.7","3.96","2.96","2.46","1.87","0.95","0.09","0.18","0.06","0.2","0.06","1.49","3.18","2.83","2.19","1.87","1.45","0.75","0.09","0.17","0.06","0.19","52.2","113","253.4","341.8","411.6","475.2","532.8","598.2","675.3","","","",""
"Bow River North","BRN","2017-06-03","BRN-059","Hardisty","927.3","21","2.72","10.7","","0.86","","42","91.7","0.18","2.63","4.74","3.63","2.72","2.51","1.93","1.02","0.09","0.2","0.09","0.27","0.09","1.65","3.21","2.6","2.02","1.91","1.5","0.81","0.09","0.19","0.08","0.25","","","","","","","","","","","","",""
"Bow River North","BRN","2017-05-02","BRN-005","Hardisty","922.7","21.7","2.82","10.9","","0.85","","44.3","95.7","0.18","3.13","5.84","4.03","2.91","2.47","1.73","0.86","0.1","0.23","0.08","0.29","0.09","1.98","3.97","2.9","2.17","1.89","1.35","0.68","0.1","0.22","0.08","0.27","","","","","","","","","","","","",""
"Bow River North","BRN","2017-04-07","BRN-057","Hardisty","923.9","21.5","2.78","11.5","507.4","0.75","11.6","46.1","94.7","0.15","2.41","4.6","3.48","2.53","2.21","1.49","0.73","0.09","0.2","0.07","0.26","0.08","1.52","3.13","2.5","1.88","1.69","1.16","0.58","0.09","0.19","0.07","0.24","40.3","102.7","253","358.5","430","486.3","540.5","602.8","690.8","","","",""
"Bow River North","BRN","2017-03-01","BRN-003","Hardisty","924.4","21.4","2.91","11.1","","0.92","","55.1","115","0.15","2.47","6.77","4.99","3.43","2.7","1.82","0.89","0.14","0.3","0.08","0.34","0.08","1.56","4.6","3.58","2.55","2.06","1.42","0.71","0.13","0.28","0.08","0.32","","","","","","","","","","","","",""
